epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,765.657,0.4687,0.9558,1,0.14622,0.000475163,0.000475163,0.000475163
2,1529.86,0.23461,0.91436,1,0.21643,0.000913817,0.000913817,0.000913817
3,2279.8,0.21181,0.95166,1,0.14032,0.00131475,0.00131475,0.00131475
4,3031.82,0.20579,0.9337,1,0.19758,0.00125923,0.00125923,0.00125923
5,3787.76,0.1582,0.95994,1,0.10769,0.00120265,0.00120265,0.00120265
6,4546.54,0.15366,0.96409,1,0.11808,0.00114606,0.00114606,0.00114606
7,5299.5,0.13356,0.96961,1,0.07909,0.00108947,0.00108947,0.00108947
8,6055.5,0.11867,0.97376,1,0.06243,0.00103288,0.00103288,0.00103288
9,6815.94,0.11104,0.9779,1,0.07272,0.000976293,0.000976293,0.000976293
10,7571.61,0.0956,0.98066,1,0.06955,0.000919704,0.000919704,0.000919704
11,8323.25,0.0809,0.98481,1,0.04705,0.000863116,0.000863116,0.000863116
12,9083.86,0.07358,0.97928,1,0.05145,0.000806528,0.000806528,0.000806528
13,9840.72,0.06891,0.97928,1,0.05509,0.000749939,0.000749939,0.000749939
14,10599.4,0.07365,0.98481,1,0.05374,0.000693351,0.000693351,0.000693351
15,11365.1,0.0647,0.98066,1,0.04425,0.000636762,0.000636762,0.000636762
16,12130.2,0.06222,0.98481,1,0.04596,0.000580174,0.000580174,0.000580174
17,12896.7,0.05918,0.98619,1,0.04709,0.000523586,0.000523586,0.000523586
18,13664.2,0.04736,0.98757,1,0.05425,0.000466997,0.000466997,0.000466997
19,14437.5,0.04804,0.98619,1,0.03777,0.000410409,0.000410409,0.000410409
20,15200.8,0.04418,0.98343,1,0.03548,0.00035382,0.00035382,0.00035382
21,15963,0.04997,0.98895,1,0.03128,0.000297232,0.000297232,0.000297232
22,16723.2,0.03518,0.98895,1,0.0263,0.000240644,0.000240644,0.000240644
23,17484.7,0.03441,0.98895,1,0.03356,0.000184055,0.000184055,0.000184055
24,18242.1,0.03538,0.99033,1,0.03678,0.000127467,0.000127467,0.000127467
25,18998.5,0.03213,0.99033,1,0.03314,7.08784e-05,7.08784e-05,7.08784e-05
