epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17950.8,2.75869,3.06249,1.25992,0.18125,0.29945,0.19421,0.07673,2.18347,2.10659,1.05587,0.000552082,0.000552082,0.000552082
2,21915.6,2.62681,2.41249,1.21659,0.34519,0.32939,0.29662,0.12032,2.1013,1.88783,1.04587,0.00107119,0.00107119,0.00107119
3,25849.6,2.56706,2.19357,1.19072,0.42056,0.43034,0.36737,0.13531,2.07416,1.71458,1.04872,0.00155363,0.00155363,0.00155363
4,29795.3,2.52597,2.07475,1.18189,0.24119,0.38756,0.2576,0.09553,2.13217,1.86398,1.06394,0.00150197,0.00150197,0.00150197
5,33752.1,2.46343,1.96724,1.15628,0.48597,0.4834,0.45429,0.19568,1.97321,1.6532,1.00579,0.00144696,0.00144696,0.00144696
6,37656.2,2.43085,1.90675,1.14572,0.44964,0.46204,0.42932,0.16945,2.09239,1.64643,1.0419,0.00139195,0.00139195,0.00139195
7,41544.2,2.3765,1.82849,1.12912,0.46191,0.61246,0.50257,0.22383,1.96362,1.53354,1.01792,0.00133693,0.00133693,0.00133693
8,45427,2.33901,1.76546,1.12512,0.52492,0.46686,0.48122,0.2231,2.00846,1.50169,1.02522,0.00128192,0.00128192,0.00128192
9,49282.1,2.30236,1.71138,1.10563,0.54955,0.53942,0.55635,0.28381,1.87348,1.45206,1.00285,0.00122691,0.00122691,0.00122691
10,53095.9,2.28654,1.68481,1.09389,0.58664,0.57271,0.5884,0.26475,1.85578,1.37523,0.98567,0.0011719,0.0011719,0.0011719
11,56921.7,2.23308,1.63972,1.09006,0.59324,0.63247,0.64153,0.33513,1.73713,1.38666,0.97464,0.00111689,0.00111689,0.00111689
12,60724.5,2.20247,1.58759,1.07511,0.52994,0.5589,0.54623,0.25559,2.06767,1.52365,1.03024,0.00106188,0.00106188,0.00106188
13,64547.5,2.17243,1.55798,1.05959,0.51384,0.58433,0.52172,0.2182,2.13456,1.41812,1.03591,0.00100687,0.00100687,0.00100687
14,68360.6,2.15867,1.54241,1.06337,0.65306,0.58078,0.61354,0.30579,1.80032,1.32514,0.97311,0.000951857,0.000951857,0.000951857
15,72237.9,2.10961,1.50011,1.04708,0.58547,0.63678,0.61131,0.31963,1.80996,1.38503,0.97855,0.000896846,0.000896846,0.000896846
16,76090.6,2.09662,1.44618,1.04899,0.69589,0.62293,0.67842,0.3359,1.80012,1.27121,0.97788,0.000841835,0.000841835,0.000841835
17,79939.8,2.09653,1.47034,1.05138,0.66988,0.65501,0.67086,0.32434,1.89295,1.32729,0.99553,0.000786824,0.000786824,0.000786824
18,83767.9,2.04999,1.40723,1.03255,0.67415,0.58206,0.67288,0.3525,1.71022,1.2934,0.96172,0.000731813,0.000731813,0.000731813
19,87593.9,2.02928,1.38232,1.03424,0.61402,0.69984,0.6889,0.34814,1.69561,1.19753,0.9536,0.000676802,0.000676802,0.000676802
20,91438.9,2.00584,1.36249,1.02748,0.6728,0.4822,0.53845,0.2521,2.09341,1.4648,1.03266,0.000621791,0.000621791,0.000621791
21,95222.5,1.92744,1.30829,1.04048,0.54839,0.56148,0.55685,0.27727,1.86759,1.31199,0.98781,0.00056678,0.00056678,0.00056678
22,99000.1,1.87535,1.25991,1.03584,0.68898,0.64474,0.68676,0.34342,1.78882,1.22094,0.96814,0.000511769,0.000511769,0.000511769
23,102829,1.8478,1.23839,1.02139,0.72938,0.66461,0.69441,0.35738,1.89926,1.18881,0.98793,0.000456758,0.000456758,0.000456758
24,106721,1.84927,1.22954,1.0223,0.60627,0.55731,0.56637,0.2805,1.97243,1.31804,1.0108,0.000401747,0.000401747,0.000401747
25,110503,1.7981,1.20103,1.00805,0.64156,0.64278,0.66733,0.31832,1.877,1.21252,0.99246,0.000346736,0.000346736,0.000346736
26,114244,1.77887,1.17201,1.0114,0.68213,0.72956,0.71037,0.34952,1.82164,1.17649,0.97138,0.000291725,0.000291725,0.000291725
27,117990,1.7664,1.16236,1.00162,0.72765,0.68897,0.70703,0.35091,1.81928,1.17066,0.97161,0.000236714,0.000236714,0.000236714
28,121732,1.73626,1.14371,0.99883,0.69031,0.68189,0.69879,0.36424,1.79398,1.16671,0.96403,0.000181703,0.000181703,0.000181703
29,125465,1.72475,1.1251,0.99489,0.75423,0.61029,0.69005,0.35372,1.7412,1.13589,0.95682,0.000126692,0.000126692,0.000126692
30,129222,1.68196,1.10121,0.98459,0.6621,0.70944,0.70411,0.3612,1.76471,1.14321,0.95943,7.1681e-05,7.1681e-05,7.1681e-05
